Country,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Congo,24.0,19.0,27.0,46.0,45.0,50.0,46.0,40.0,38.0,36.0,50.0,58.0,58.0,61.0,72.0,74.0,63.0,69.0,73.0,70.0,65.0,95.0,66.0,67.0,56.0,56.0,65.0,57,32.0,49.0,59.0,57.0,76.0,98.0,114.0,112.0,156.0,183.0,209.0,241.0,256.0,323.0,360.0,393.0,411.0
Cook Islands,0.01,0.01,0.01,0.01,1.0,2.0,4.0,3.0,2.0,6.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,0.01,0.01,0.01,3.0,2.0,3.0,3.0,1.0,0.01,0.01,2,0.01,1.0,0.01,0.01,1.0,1.0,4.0,0.01,0.01,2.0,3.0,3.0,4.0,7.0,6.0,3.0,4.0
Costa Rica,59.0,51.0,61.0,68.0,75.0,106.0,97.0,127.0,79.0,95.0,131.0,125.0,122.0,123.0,145.0,139.0,132.0,146.0,129.0,152.0,173.0,194.0,153.0,232.0,257.0,222.0,197.0,210,264.0,257.0,263.0,303.0,316.0,312.0,324.0,399.0,404.0,412.0,463.0,475.0,443.0,560.0,580.0,650.0,679.0
Croatia,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,11.0,21.0,27.0,140.0,845.0,848.0,1008.0,1058.0,1025.0,1139.0,1213.0,1305,1308.0,1420.0,1542.0,1658.0,1855.0,1953.0,2485.0,2992.0,3370.0,3580.0,3928.0,3877.0,3672.0,3542.0,3551.0,3745.0,3771.0
Cuba,26.0,24.0,30.0,84.0,85.0,83.0,115.0,103.0,127.0,176.0,164.0,151.0,133.0,154.0,191.0,221.0,241.0,242.0,215.0,245.0,240.0,265.0,328.0,408.0,406.0,508.0,598.0,627,686.0,601.0,686.0,644.0,676.0,737.0,744.0,826.0,793.0,740.0,853.0,881.0,876.0,827.0,793.0,792.0,769.0
Cyprus,11.0,9.0,16.0,21.0,17.0,14.0,10.0,17.0,17.0,18.0,15.0,28.0,18.0,15.0,20.0,22.0,24.0,20.0,22.0,52.0,50.0,61.0,121.0,118.0,167.0,160.0,167.0,183,183.0,227.0,221.0,270.0,301.0,350.0,402.0,497.0,636.0,759.0,806.0,937.0,1089.0,1099.0,1170.0,1335.0,1473.0
Czech Republic,0.01,0.01,0.01,0.01,0.01,1.0,2.0,1.0,0.01,0.01,0.01,3.0,0.01,0.01,1.0,7.0,38.0,186.0,195.0,88.0,528.0,3428.0,3463.0,3881.0,4060.0,4053.0,4297.0,4430,4657.0,4982.0,5271.0,5852.0,6016.0,6808.0,7455.0,8198.0,8687.0,9431.0,9892.0,10703.0,11181.0,12198.0,12951.0,13371.0,13626.0
Denmark,2224.0,2420.0,2420.0,2686.0,3282.0,3310.0,3592.0,3599.0,3791.0,4010.0,4210.0,4187.0,4318.0,4551.0,4426.0,4678.0,4751.0,4881.0,5132.0,5753.0,5824.0,6443.0,6542.0,6739.0,7227.0,7567.0,7718.0,7912,8063.0,8033.0,8417.0,8773.0,9129.0,9531.0,9966.0,10566.0,11124.0,12255.0,13642.0,14859.0,15956.0,17255.0,18414.0,19529.0,19731.0
Dominica ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,2.0,0.01,1.0,0.01,2.0,1.0,1,3.0,1.0,4.0,3.0,7.0,6.0,8.0,4.0,6.0,15.0,10.0,14.0,19.0,12.0,17.0,18.0,24.0
Dominican Republic,5.0,2.0,4.0,4.0,7.0,10.0,9.0,9.0,22.0,16.0,10.0,17.0,16.0,21.0,15.0,10.0,14.0,20.0,22.0,16.0,22.0,22.0,15.0,26.0,23.0,20.0,20.0,41,24.0,17.0,19.0,25.0,20.0,21.0,33.0,43.0,34.0,45.0,50.0,59.0,73.0,63.0,106.0,96.0,111.0
